"Words","Freq"
"the",659
"and",346
"for",168
"that",149
"was",85
"you",84
"with",75
"are",71
"not",69
"but",61
"have",61
"this",61
"its",50
"there",49
"more",46
"what",45
"will",43
"your",42
"his",41
"one",41
"time",41
"from",40
"out",40
"all",39
"like",38
"they",35
"had",34
"get",33
"just",32
"said",31
"who",31
"can",29
"has",29
"were",29
"been",28
"about",27
"new",27
"first",26
"day",25
"would",25
"some",24
"her",23
"when",23
"good",22
"other",22
"two",22
"going",21
"love",21
"make",21
"our",21
"too",21
"also",20
"last",20
"people",20
"than",20
"after",19
"before",19
"dont",19
"how",19
"know",19
"she",19
"thanks",19
"got",18
"much",18
"then",18
"these",18
"way",18
"which",18
"any",17
"game",17
"next",17
"their",17
"year",17
"now",16
"over",16
"right",16
"them",16
"think",16
"made",15
"really",15
"should",15
"through",15
"want",15
"could",14
"see",14
"well",14
"world",14
"check",13
"even",13
"everyone",13
"him",13
"many",13
"most",13
"night",13
"off",13
"still",13
"take",13
"best",12
"children",12
"done",12
"each",12
"hey",12
"home",12
"lost",12
"today",12
"tonight",12
"very",12
"another",11
"being",11
"class",11
"enough",11
"find",11
"free",11
"fun",11
"into",11
"life",11
"little",11
"lot",11
"school",11
"show",11
"thats",11
"actually",10
"because",10
"cant",10
"did",10
"here",10
"let",10
"making",10
"must",10
"since",10
"weeks",10
"without",10
"back",9
"city",9
"come",9
"days",9
"end",9
"feel",9
"great",9
"only",9
"place",9
"play",9
"run",9
"say",9
"things",9
"three",9
"years",9
"again",8
"against",8
"deal",8
"disparities",8
"ever",8
"four",8
"half",8
"hate",8
"hours",8
"long",8
"music",8
"need",8
"old",8
"problems",8
"state",8
"thank",8
"times",8
"until",8
"week",8
"where",8
"why",8
"work",8
"youll",8
"young",8
"april",7
"bad",7
"between",7
"big",7
"bigger",7
"birthday",7
"care",7
"decided",7
"down",7
"early",7
"every",7
"fear",7
"few",7
"finally",7
"getting",7
"hit",7
"house",7
"important",7
"keep",7
"kind",7
"light",7
"makes",7
"minutes",7
"north",7
"part",7
"plans",7
"road",7
"seems",7
"shes",7
"something",7
"started",7
"sure",7
"table",7
"those",7
"while",7
"added",6
"always",6
"amazing",6
"around",6
"chairs",6
"conference",6
"cool",6
"education",6
"feeling",6
"food",6
"given",6
"goes",6
"gorgeous",6
"group",6
"having",6
"high",6
"hold",6
"hot",6
"interview",6
"ive",6
"kelp",6
"look",6
"money",6
"movie",6
"never",6
"number",6
"open",6
"partners",6
"person",6
"playing",6
"program",6
"quite",6
"room",6
"second",6
"series",6
"sorry",6
"support",6
"wife",6
"worse",6
"youre",6
"almost",5
"already",5
"anything",5
"away",5
"better",5
"bill",5
"born",5
"both",5
"brand",5
"building",5
"call",5
"campaign",5
"cause",5
"company",5
"country",5
"dallas",5
"death",5
"definitely",5
"director",5
"does",5
"dog",5
"draft",5
"during",5
"faces",5
"fact",5
"federal",5
"finished",5
"follow",5
"foot",5
"games",5
"gets",5
"girl",5
"give",5
"health",5
"help",5
"ill",5
"including",5
"information",5
"july",5
"june",5
"kids",5
"late",5
"led",5
"left",5
"likely",5
"listening",5
"looks",5
"may",5
"meet",5
"needs",5
"nice",5
"own",5
"party",5
"pay",5
"percent",5
"perfect",5
"phone",5
"plan",5
"quick",5
"ready",5
"reason",5
"recently",5
"several",5
"someone",5
"start",5
"sunday",5
"teams",5
"though",5
"todays",5
"together",5
"tweet",5
"victory",5
"walking",5
"wanted",5
"whether",5
"white",5
"works",5
"able",4
"action",4
"ago",4
"allow",4
"although",4
"anyone",4
"babies",4
"based",4
"battle",4
"blog",4
"bloomfield",4
"boy",4
"browns",4
"btw",4
"business",4
"cake",4
"cancer",4
"center",4
"changes",4
"chicago",4
"chocolate",4
"coming",4
"cream",4
"cufon",4
"cup",4
"dead",4
"debt",4
"didnt",4
"die",4
"difficult",4
"earlier",4
"easy",4
"else",4
"fans",4
"far",4
"favorite",4
"five",4
"following",4
"forward",4
"found",4
"friends",4
"gave",4
"giving",4
"greater",4
"happy",4
"healthy",4
"heart",4
"hour",4
"huge",4
"idea",4
"improve",4
"issue",4
"jail",4
"jesus",4
"later",4
"law",4
"leadership",4
"least",4
"leaves",4
"less",4
"liked",4
"loss",4
"mind",4
"mom",4
"move",4
"myself",4
"often",4
"opportunity",4
"others",4
"oven",4
"paint",4
"painted",4
"parents",4
"peace",4
"personal",4
"plant",4
"police",4
"population",4
"pretty",4
"problem",4
"progress",4
"red",4
"relief",4
"riders",4
"role",4
"same",4
"santa",4
"saw",4
"saying",4
"season",4
"security",4
"seriously",4
"set",4
"shows",4
"sitting",4
"situation",4
"six",4
"slapped",4
"sleep",4
"sometimes",4
"son",4
"soon",4
"stay",4
"stories",4
"such",4
"summer",4
"super",4
"system",4
"takes",4
"team",4
"tebowing",4
"ten",4
"thomas",4
"thursday",4
"told",4
"took",4
"top",4
"total",4
"towards",4
"training",4
"twitter",4
"use",4
"using",4
"wait",4
"waiting",4
"walk",4
"wasnt",4
"water",4
"website",4
"whatever",4
"win",4
"wondering",4
"woo",4
"words",4
"working",4
"worry",4
"wow",4
"yesterday",4
"york",4
"yourself",4
"youth",4
"zone",4
"account",3
"across",3
"addresses",3
"adults",3
"advancing",3
"age",3
"agency",3
"agree",3
"alone",3
"alrightno",3
"american",3
"amplifies",3
"annapolis",3
"apparently",3
"apricots",3
"attention",3
"awesome",3
"backs",3
"baking",3
"band",3
"bats",3
"begin",3
"believe",3
"blues",3
"bomb",3
"bowl",3
"break",3
"breast",3
"brother",3
"burned",3
"buy",3
"cady",3
"called",3
"camera",3
"cannot",3
"cards",3
"characters",3
"charge",3
"cherries",3
"close",3
"clues",3
"coach",3
"coffee",3
"collaboration",3
"collect",3
"color",3
"complex",3
"conduct",3
"congratulations",3
"considered",3
"continue",3
"contract",3
"correct",3
"costs",3
"county",3
"course",3
"court",3
"create",3
"cry",3
"data",3
"date",3
"daughters",3
"defeated",3
"different",3
"dining",3
"dinner",3
"discipline",3
"doesnt",3
"doing",3
"dreams",3
"drink",3
"edmundson",3
"effectively",3
"enjoy",3
"especially",3
"established",3
"everything",3
"everythings",3
"expected",3
"extra",3
"face",3
"faithful",3
"feet",3
"field",3
"film",3
"final",3
"fontbonne",3
"fridaytheth",3
"front",3
"george",3
"ghost",3
"gift",3
"glass",3
"goin",3
"gonna",3
"goodness",3
"google",3
"grant",3
"greatness",3
"grew",3
"groves",3
"gwen",3
"haha",3
"hand",3
"hard",3
"havent",3
"head",3
"hilarious",3
"himself",3
"however",3
"hunters",3
"ice",3
"ideal",3
"images",3
"impossible",3
"impression",3
"improvements",3
"include",3
"includes",3
"infant",3
"intrigued",3
"intriguing",3
"isnt",3
"journey",3
"killed",3
"laws",3
"learning",3
"leave",3
"lesson",3
"liberal",3
"likei",3
"line",3
"list",3
"listen",3
"literally",3
"live",3
"lives",3
"lol",3
"looked",3
"lord",3
"louis",3
"loves",3
"loyolablakefields",3
"lunch",3
"mack",3
"man",3
"mangiofico",3
"maryland",3
"marys",3
"mass",3
"mayor",3
"mayoral",3
"medical",3
"member",3
"members",3
"merit",3
"might",3
"million",3
"milonga",3
"month",3
"months",3
"mount",3
"necessary",3
"nfl",3
"nights",3
"offering",3
"okay",3
"once",3
"original",3
"parga",3
"perspectives",3
"players",3
"playoffs",3
"please",3
"point",3
"policies",3
"poor",3
"post",3
"pounds",3
"previous",3
"probably",3
"project",3
"pulling",3
"purpose",3
"pushing",3
"put",3
"race",3
"reading",3
"real",3
"records",3
"religion",3
"reported",3
"residents",3
"retweet",3
"rework",3
"ride",3
"roomgary",3
"round",3
"sat",3
"save",3
"says",3
"seen",3
"sens",3
"serious",3
"seven",3
"share",3
"shirts",3
"short",3
"shut",3
"sick",3
"signed",3
"simple",3
"smash",3
"smoking",3
"snap",3
"song",3
"sparring",3
"special",3
"spy",3
"square",3
"stage",3
"stanleycup",3
"steps",3
"story",3
"stroller",3
"students",3
"suggest",3
"sunburn",3
"sweating",3
"taken",3
"talk",3
"talkingthy",3
"tattoos",3
"teacher",3
"theyre",3
"thus",3
"thy",3
"ticket",3
"till",3
"title",3
"toe",3
"travel",3
"true",3
"trying",3
"tumultuous",3
"turn",3
"twice",3
"valentines",3
"valuable",3
"vey",3
"visiting",3
"walks",3
"wall",3
"walmart",3
"weather",3
"weirdest",3
"whole",3
"within",3
"won",3
"wonderful",3
"workers",3
"workshop",3
"wrigley",3
"wrong",3
"yearold",3
"yes",3
"youve",3
"zeitgeist",3
"ability",2
"absolutely",2
"academic",2
"accountability",2
"achievement",2
"acres",2
"act",2
"actin",2
"acting",2
"acy",2
"adam",2
"add",2
"additional",2
"adelaide",2
"adele",2
"administering",2
"admit",2
"adulthood",2
"advocates",2
"afternoon",2
"aftr",2
"agencies",2
"agents",2
"aint",2
"alaimo",2
"album",2
"allamerican",2
"allowed",2
"allows",2
"along",2
"americans",2
"among",2
"amount",2
"ancoras",2
"anderson",2
"andrades",2
"andrew",2
"anonymous",2
"antioxidant",2
"antonio",2
"anyway",2
"appearance",2
"appreciate",2
"area",2
"arm",2
"asked",2
"asleep",2
"astroturf",2
"attempting",2
"attendance",2
"attends",2
"automotive",2
"average",2
"aviation",2
"baby",2
"backyard",2
"bag",2
"bakers",2
"base",2
"basics",2
"batum",2
"beat",2
"become",2
"bed",2
"beer",2
"began",2
"belong",2
"benefit",2
"bestfriend",2
"billion",2
"birth",2
"bit",2
"biting",2
"blind",2
"block",2
"blue",2
"body",2
"bold",2
"bolt",2
"bottle",2
"bought",2
"brighten",2
"bring",2
"broken",2
"brown",2
"bud",2
"buffalo",2
"butler",2
"california",2
"car",2
"card",2
"cardinals",2
"carreta",2
"carrying",2
"cars",2
"case",2
"cat",2
"cautious",2
"cell",2
"centralia",2
"century",2
"certain",2
"certificate",2
"chaaaa",2
"charles",2
"chauffeured",2
"cheap",2
"checkin",2
"checkins",2
"cheese",2
"cheesecake",2
"chesser",2
"chicken",2
"child",2
"childwellbeing",2
"chimpanzees",2
"chris",2
"christ",2
"chrome",2
"chronic",2
"cinco",2
"clear",2
"cleveland",2
"collegiate",2
"comad",2
"comes",2
"committee",2
"communities",2
"community",2
"companyfunded",2
"competitive",2
"complain",2
"concluded",2
"consignment",2
"consortium",2
"contains",2
"contribution",2
"contributions",2
"cooked",2
"couch",2
"cps",2
"creation",2
"creepily",2
"crumbling",2
"crying",2
"cubs",2
"cut",2
"daily",2
"decade",2
"define",2
"den",2
"department",2
"derby",2
"despite",2
"details",2
"detonated",2
"detroit",2
"device",2
"direct",2
"directly",2
"discovered",2
"disparate",2
"donated",2
"drawn",2
"dried",2
"drinks",2
"due",2
"dugout",2
"duke",2
"dyall",2
"dying",2
"eastern",2
"eat",2
"eating",2
"eclectic",2
"economic",2
"edges",2
"edgy",2
"educational",2
"effect",2
"efforts",2
"either",2
"elbows",2
"elbowthrowing",2
"election",2
"ellis",2
"elsewhere",2
"email",2
"employee",2
"employees",2
"ended",2
"enhances",2
"enjoyed",2
"ensuring",2
"erin",2
"error",2
"espn",2
"etc",2
"etrade",2
"evaluate",2
"example",2
"except",2
"exceptional",2
"excited",2
"excuses",2
"experience",2
"experiencing",2
"explain",2
"expulsions",2
"eyes",2
"fairly",2
"fall",2
"fallout",2
"falls",2
"families",2
"fan",2
"february",2
"feels",2
"festival",2
"fiesta",2
"filed",2
"filling",2
"finance",2
"financial",2
"finding",2
"fire",2
"fires",2
"firms",2
"floor",2
"flowers",2
"folks",2
"former",2
"fort",2
"fouc",2
"french",2
"friday",2
"fruit",2
"fryer",2
"gail",2
"gas",2
"giant",2
"giants",2
"gifts",2
"girlfriends",2
"gossip",2
"graffiti",2
"grass",2
"green",2
"greg",2
"ground",2
"grows",2
"growth",2
"guilty",2
"guy",2
"guys",2
"hackeddo",2
"hahahahaha",2
"hahahahhahah",2
"hair",2
"hall",2
"hanging",2
"harried",2
"hashtag",2
"heads",2
"hear",2
"heard",2
"hearing",2
"heat",2
"held",2
"helmet",2
"het",2
"hmm",2
"holiday",2
"holly",2
"homework",2
"hope",2
"houses",2
"human",2
"humidity",2
"hummingbird",2
"hurry",2
"immediately",2
"impact",2
"implementation",2
"incarnations",2
"incitement",2
"increased",2
"incredibly",2
"indicators",2
"infancy",2
"informed",2
"inkind",2
"inn",2
"inning",2
"inside",2
"inspire",2
"institutions",2
"interested",2
"interior",2
"international",2
"involved",2
"involves",2
"itself",2
"jarrett",2
"jerseys",2
"job",2
"jogging",2
"john",2
"join",2
"jumpstarts",2
"junior",2
"keith",2
"king",2
"kings",2
"kitchen",2
"knock",2
"known",2
"kottaras",2
"lack",2
"lady",2
"ladybugs",2
"landed",2
"landscape",2
"largest",2
"lead",2
"leading",2
"league",2
"leaving",2
"leg",2
"legislators",2
"legislature",2
"letting",2
"lights",2
"lines",2
"link",2
"living",2
"local",2
"longterm",2
"looking",2
"lovely",2
"lowbirthweight",2
"lurv",2
"major",2
"manager",2
"march",2
"market",2
"marlins",2
"massage",2
"mayo",2
"media",2
"medina",2
"mejor",2
"mentoring",2
"mets",2
"meyer",2
"middle",2
"mile",2
"mine",2
"mins",2
"model",2
"moore",2
"mortality",2
"motorcycle",2
"movement",2
"moving",2
"mustard",2
"name",2
"nathan",2
"natural",2
"needacinschool",2
"neighborhoods",2
"neinas",2
"nelson",2
"network",2
"news",2
"nope",2
"novel",2
"oak",2
"obama",2
"occurs",2
"office",2
"onethingyoushouldntdo",2
"online",2
"onset",2
"operate",2
"opportunities",2
"org",2
"outside",2
"ovation",2
"overused",2
"owe",2
"pack",2
"packed",2
"page",2
"parent",2
"particularly",2
"pass",2
"passed",2
"paste",2
"patient",2
"patiently",2
"patrick",2
"perfectly",2
"performed",2
"performs",2
"permanent",2
"personally",2
"physical",2
"pich",2
"pick",2
"pictures",2
"planning",2
"plants",2
"poised",2
"political",2
"posted",2
"powerful",2
"powers",2
"pozzuoli",2
"prayer",2
"praying",2
"predict",2
"preferably",2
"presence",2
"price",2
"private",2
"process",2
"produce",2
"production",2
"programs",2
"promise",2
"property",2
"protection",2
"proud",2
"provides",2
"published",2
"puppet",2
"puts",2
"putting",2
"question",2
"quickly",2
"rabbit",2
"ran",2
"range",2
"rate",2
"reaction",2
"realized",2
"recieved",2
"recipe",2
"recommendations",2
"redesign",2
"refill",2
"refuse",2
"released",2
"remains",2
"reminder",2
"replaced",2
"reportedly",2
"rescue",2
"resident",2
"resources",2
"restaurant",2
"returned",2
"revealing",2
"rhetorical",2
"richmond",2
"riding",2
"rights",2
"rise",2
"risks",2
"rnrchi",2
"robert",2
"roberts",2
"rockin",2
"roots",2
"rose",2
"routine",2
"rover",2
"royal",2
"rule",2
"runoff",2
"san",2
"sarkohnohedidntzy",2
"sarkozy",2
"schafers",2
"schools",2
"secretaries",2
"seed",2
"seeing",2
"seem",2
"seemed",2
"self",2
"send",2
"senior",2
"sent",2
"separate",2
"serve",2
"service",2
"setting",2
"shadows",2
"shane",2
"shared",2
"sheet",2
"shifts",2
"shoes",2
"showed",2
"shown",2
"side",2
"similar",2
"singing",2
"single",2
"sisters",2
"sleeping",2
"snow",2
"sntck",2
"somebody",2
"soundtrack",2
"space",2
"spam",2
"sparkly",2
"specialneeds",2
"spirit",2
"spoke",2
"sport",2
"spread",2
"spring",2
"squad",2
"squared",2
"stadium",2
"staffing",2
"stalking",2
"standing",2
"starting",2
"starts",2
"status",2
"stick",2
"sting",2
"stite",2
"stock",2
"stop",2
"stopped",2
"street",2
"stressed",2
"strewn",2
"strike",2
"strikers",2
"student",2
"sucker",2
"sullivan",2
"sun",2
"suns",2
"sunshine",2
"supply",2
"survival",2
"suspensions",2
"sustainable",2
"systems",2
"taking",2
"talking",2
"tanner",2
"tastefully",2
"tax",2
"teen",2
"television",2
"tell",2
"tempting",2
"tenant",2
"term",2
"terms",2
"testing",2
"tests",2
"thanked",2
"theater",2
"thecareerbuilder",2
"themselves",2
"theres",2
"theyve",2
"thin",2
"thing",2
"thousands",2
"thrall",2
"threat",2
"throw",2
"tired",2
"tony",2
"tools",2
"tourists",2
"toward",2
"town",2
"trading",2
"traditional",2
"traditionally",2
"trenton",2
"tried",2
"trim",2
"trip",2
"try",2
"tweetin",2
"twinkling",2
"type",2
"typically",2
"under",2
"unfortunately",2
"universities",2
"university",2
"unlikely",2
"unrestricted",2
"upset",2
"used",2
"usually",2
"value",2
"virginia",2
"visualization",2
"voice",2
"volunteer",2
"voted",2
"walked",2
"walkin",2
"wants",2
"warm",2
"warning",2
"watch",2
"ways",2
"wealthiest",2
"wear",2
"weego",2
"weekend",2
"welcome",2
"west",2
"weve",2
"whats",2
"whos",2
"whose",2
"wildfires",2
"william",2
"willing",2
"wins",2
"winter",2
"wish",2
"wit",2
"wordpress",2
"worker",2
"wouldnt",2
"write",2
"writings",2
"wynn",2
"xmas",2
"yall",2
"yearplus",2
"yellow",2
"yet",2
"yikes",2
"youu",2
"zooming",2
"abe",1
"aberdeen",1
"abound",1
"above",1
"abroad",1
"accept",1
"accident",1
"accomplish",1
"accomplishment",1
"accountant",1
"accurately",1
"accused",1
"ache",1
"acknowledges",1
"acosta",1
"acquisitions",1
"activated",1
"actively",1
"acts",1
"adaptable",1
"addition",1
"additives",1
"address",1
"administration",1
"administrative",1
"admiration",1
"advance",1
"advances",1
"advice",1
"affiliated",1
"afghan",1
"afghanistan",1
"afterwards",1
"ages",1
"aggreed",1
"ahead",1
"air",1
"airport",1
"ala",1
"alex",1
"alfredo",1
"ali",1
"alike",1
"alive",1
"allegedly",1
"alley",1
"allotted",1
"allowing",1
"allstar",1
"almighty",1
"almonds",1
"alongside",1
"alqaeda",1
"ambassador",1
"amberg",1
"amelan",1
"amen",1
"america",1
"amid",1
"ammon",1
"amusing",1
"ana",1
"anc",1
"anchors",1
"ancient",1
"andrews",1
"angels",1
"angry",1
"animals",1
"announced",1
"announces",1
"answer",1
"answers",1
"antiinflammatory",1
"antonioni",1
"anyones",1
"anytime",1
"anyways",1
"anywhere",1
"apart",1
"apartment",1
"app",1
"apparatus",1
"appeal",1
"appeared",1
"appears",1
"applauded",1
"application",1
"approached",1
"aquarius",1
"areas",1
"arent",1
"arguments",1
"arizonas",1
"arkansas",1
"arlington",1
"armed",1
"armstead",1
"arrest",1
"arrests",1
"arrival",1
"artest",1
"arthaus",1
"artie",1
"artist",1
"artists",1
"ashamed",1
"ashland",1
"asianmiddle",1
"ask",1
"aspirin",1
"asset",1
"assets",1
"associated",1
"atari",1
"atbat",1
"ate",1
"athletescelebrities",1
"athletics",1
"atmosphere",1
"atrisk",1
"attack",1
"attackers",1
"attacks",1
"attempt",1
"attended",1
"attentive",1
"attitude",1
"attorney",1
"attributes",1
"audience",1
"australia",1
"authenic",1
"author",1
"authorities",1
"authority",1
"autumn",1
"available",1
"avatar",1
"avenue",1
"avoid",1
"await",1
"awaiting",1
"award",1
"aware",1
"awhile",1
"aye",1
"backing",1
"bags",1
"bail",1
"bake",1
"balance",1
"bale",1
"ball",1
"ban",1
"banging",1
"banished",1
"bank",1
"bar",1
"barbara",1
"barbera",1
"barberas",1
"bareheaded",1
"barely",1
"barn",1
"baron",1
"barossa",1
"barrett",1
"barricelli",1
"bases",1
"basis",1
"basketball",1
"bass",1
"bathrooms",1
"baylee",1
"bays",1
"beach",1
"bear",1
"beatles",1
"beautful",1
"beauty",1
"became",1
"beckham",1
"bedtime",1
"beers",1
"beginnings",1
"behaviour",1
"behind",1
"behold",1
"believed",1
"believes",1
"belongs",1
"below",1
"ben",1
"benefits",1
"bent",1
"bereft",1
"bernard",1
"bersih",1
"beso",1
"bhoops",1
"bike",1
"biodegradable",1
"biomedical",1
"bird",1
"birds",1
"biscuits",1
"bizets",1
"bjorn",1
"black",1
"blacks",1
"bladder",1
"blades",1
"blakeman",1
"blend",1
"blitz",1
"blocks",1
"blogrolls",1
"blogs",1
"blood",1
"bloom",1
"blow",1
"boa",1
"board",1
"boarding",1
"boat",1
"bobbed",1
"bollywood",1
"bolted",1
"bon",1
"boo",1
"book",1
"booked",1
"boost",1
"bootlegged",1
"borough",1
"bottles",1
"bottom",1
"bout",1
"bow",1
"bowling",1
"box",1
"boyfriend",1
"boys",1
"bpd",1
"braamfontein",1
"bracket",1
"brad",1
"brandon",1
"brandy",1
"breaches",1
"bred",1
"brianana",1
"briarwood",1
"brig",1
"brightly",1
"bro",1
"broadcast",1
"broke",1
"broncos",1
"brotha",1
"brotherinlaw",1
"brothers",1
"brought",1
"brush",1
"brusque",1
"bucks",1
"budget",1
"buffett",1
"bullied",1
"burn",1
"burns",1
"bused",1
"busy",1
"butterfly",1
"buying",1
"cabinet",1
"cain",1
"calibre",1
"californiabased",1
"calling",1
"calls",1
"camp",1
"canal",1
"cancers",1
"candidate",1
"candidates",1
"cap",1
"capsized",1
"captain",1
"carnegie",1
"carnival",1
"carolina",1
"carry",1
"cashed",1
"casino",1
"cast",1
"catalogues",1
"catch",1
"caused",1
"causing",1
"cds",1
"ceiling",1
"cellphone",1
"census",1
"centered",1
"central",1
"certainly",1
"cfpb",1
"chad",1
"chain",1
"chainsaws",1
"chair",1
"challenge",1
"challenging",1
"chandler",1
"change",1
"changing",1
"chansi",1
"chapter",1
"character",1
"charges",1
"charlevoix",1
"checked",1
"checking",1
"cheeks",1
"cheerfully",1
"cheering",1
"chemicals",1
"chick",1
"chief",1
"childrens",1
"chinese",1
"choice",1
"choosing",1
"chosen",1
"christie",1
"christine",1
"christmas",1
"chronological",1
"chuckling",1
"chula",1
"chunks",1
"church",1
"circuit",1
"citys",1
"clarabased",1
"classical",1
"clay",1
"clean",1
"cleaning",1
"clearance",1
"cliche",1
"client",1
"clinic",1
"clinton",1
"clm",1
"closeout",1
"closer",1
"closest",1
"closet",1
"closing",1
"club",1
"cluster",1
"coalition",1
"code",1
"coffey",1
"cold",1
"coleridges",1
"colin",1
"collar",1
"collectors",1
"colleen",1
"college",1
"collins",1
"colon",1
"colored",1
"colton",1
"com",1
"command",1
"commemorate",1
"comment",1
"comments",1
"commercial",1
"commissioners",1
"companies",1
"companyorganised",1
"companys",1
"competition",1
"complaining",1
"complains",1
"complete",1
"completes",1
"compliance",1
"complimented",1
"comprise",1
"compromise",1
"compromised",1
"conceded",1
"concentrates",1
"concern",1
"concerned",1
"concerns",1
"concrete",1
"condemn",1
"conditions",1
"conductive",1
"confiteria",1
"confused",1
"congrats",1
"congressman",1
"conquered",1
"consagrados",1
"conscience",1
"conscious",1
"consequences",1
"conservative",1
"consideration",1
"considering",1
"consistent",1
"consisting",1
"constant",1
"contact",1
"contest",1
"contests",1
"context",1
"contours",1
"control",1
"convinced",1
"convinces",1
"cookbook",1
"cooled",1
"cooling",1
"coppercovered",1
"corridor",1
"cost",1
"costume",1
"couldnt",1
